Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
16,67,0.262744646,0.445456585,0.291798769
16,68,0.171039432,0.483737492,0.345223077
16,69,0.193207641,0.530177182,0.276615177
17,45,0.552770217,0.245494942,0.20173484
17,46,0.37723905,0.301877766,0.320883185
17,47,0.397313097,0.298447262,0.304239641
17,48,0.405612448,0.293269142,0.30111841
17,49,0.485935915,0.262119644,0.251944442
17,50,0.540799504,0.254577604,0.204622893
17,51,0.525585148,0.286314555,0.188100297
17,52,0.33353218,0.390344645,0.276123175
17,53,0.241025823,0.445389449,0.313584728
17,54,0.234639087,0.465809043,0.29955187
17,55,0.203029641,0.477462528,0.319507831
17,59,0.249057501,0.504584088,0.246358411
17,60,0.256158716,0.516802845,0.22703844
17,61,0.29127349,0.51047027,0.19825624
17,62,0.338062948,0.48647702,0.175460033
17,63,0.379232685,0.45307513,0.167692185
17,64,0.396746916,0.431806816,0.171446269
17,65,0.378200192,0.433611019,0.188188789
17,66,0.367683832,0.428177127,0.204139041
17,67,0.337242678,0.425979875,0.236777447
17,68,0.185796166,0.459030202,0.355173632
17,69,0.169462894,0.52428654,0.306250567
17,70,0.17178705,0.533916188,0.294296761
18,45,0.48523183,0.275607393,0.239160777
18,46,0.361200283,0.309157395,0.329642321
18,47,0.389836601,0.30058529,0.30957811
18,48,0.460075799,0.273079829,0.266844372
18,49,0.540747099,0.243273874,0.215979027
18,50,0.555044865,0.254472055,0.19048308
18,51,0.477862813,0.31280937,0.209327817
18,52,0.344724731,0.39126868,0.264006589
18,53,0.239145138,0.446966585,0.313888277
18,54,0.222692698,0.463993661,0.313313641
18,55,0.252444834,0.45760396,0.289951205
18,58,0.217619101,0.466621694,0.315759205
18,60,0.281967738,0.480138151,0.23789411
18,61,0.295749186,0.485119098,0.219131716
18,63,0.385288044,0.442195653,0.172516304
18,64,0.413162466,0.41712124,0.169716294
18,65,0.405086828,0.414756264,0.180156908
18,66,0.386828915,0.417925454,0.195245631
18,67,0.3647027,0.416951292,0.218346008
18,68,0.26519054,0.448712776,0.286096684
18,69,0.178145502,0.468631202,0.353223296
18,70,0.192027504,0.527742972,0.280229524
19,45,0.446168254,0.293476793,0.260354954
19,46,0.327760207,0.322096215,0.350143578
19,47,0.383390729,0.311804817,0.304804454
19,48,0.506468446,0.258561605,0.23496995
19,49,0.610712657,0.215601325,0.173686019
19,50,0.591801101,0.243272157,0.164926742
19,51,0.48993262,0.313559459,0.196507922
19,52,0.375750586,0.386602871,0.237646543
19,53,0.29970556,0.432914408,0.267380033
19,54,0.275196404,0.449846597,0.274956999
19,55,0.262647932,0.444465751,0.292886318
19,64,0.431453164,0.398339943,0.170206893
19,65,0.431176553,0.392010789,0.176812658
19,66,0.399720917,0.407786803,0.19249228
19,67,0.376929674,0.412583023,0.210487303
19,68,0.34790284,0.422733337,0.229363823
19,69,0.218920407,0.464721011,0.316358582
19,70,0.189620525,0.497978571,0.312400904
20,45,0.345635649,0.326215116,0.328149235
20,46,0.260895239,0.340877376,0.398227385
20,47,0.330290582,0.331466052,0.338243366
20,48,0.430917298,0.295289904,0.273792799
20,49,0.56694896,0.244895565,0.188155476
20,50,0.555989486,0.269421789,0.174588725
20,51,0.448562011,0.338636291,0.212801697
20,52,0.386831427,0.38771415,0.225454424
20,53,0.31871933,0.425826864,0.255453807
20,54,0.330925058,0.424641989,0.244432954
20,55,0.355021292,0.401362665,0.243616043
20,64,0.439534217,0.387573634,0.172892149
20,65,0.439126441,0.384751929,0.17612163
20,66,0.418430211,0.391870728,0.189699061
20,67,0.401722067,0.394416204,0.203861729
20,68,0.373117541,0.397955366,0.228927093
20,69,0.285713112,0.431663827,0.282623062
20,70,0.22680136,0.397579567,0.375619073
20,71,0.221091599,0.461986985,0.316921416
21,45,0.42796398,0.307268965,0.264767055
21,46,0.312357675,0.340430143,0.347212182
21,47,0.341010245,0.339171169,0.319818586
21,48,0.377324054,0.334200536,0.28847541
21,49,0.463165993,0.302209496,0.234624511
21,50,0.46455971,0.319784914,0.215655377
21,51,0.4278046,0.357985368,0.214210032
21,52,0.388354283,0.38644114,0.225204577
21,53,0.364673068,0.40045364,0.234873292
21,54,0.379636659,0.392975378,0.227387963
21,55,0.417577466,0.359073542,0.223348992
21,56,0.483633179,0.314783644,0.201583177
21,57,0.525305685,0.289349103,0.185345212
21,58,0.515963916,0.313199505,0.17083658
21,61,0.389203932,0.423137034,0.187659035
21,62,0.413460646,0.413287607,0.173251747
