Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
11,64,0.365001652,0.256173811,0.378824537
11,65,0.340396343,0.256397763,0.403205894
12,45,0.125124837,0.14675178,0.728123383
12,46,0.167427857,0.114424071,0.718148072
12,47,0.453775176,0.112773987,0.433450837
12,48,0.458679124,0.145809538,0.395511338
12,49,0.353993496,0.169324683,0.476681822
12,50,0.402117925,0.175770646,0.422111429
12,51,0.356075864,0.210908016,0.43301612
12,52,0.210047079,0.243157834,0.546795088
12,53,0.151515427,0.260665902,0.587818671
12,54,0.150717793,0.282056187,0.567226019
12,55,0.102560015,0.298611074,0.598828911
12,56,0.130245462,0.333967718,0.53578682
12,58,0.248038527,0.348784239,0.403177234
12,59,0.282287706,0.329587066,0.388125228
12,60,0.349346304,0.295163179,0.355490517
12,61,0.414044965,0.254720383,0.331234652
12,62,0.422855973,0.232862961,0.344281066
12,63,0.324602925,0.250259616,0.425137458
12,64,0.302630523,0.257513303,0.439856175
12,65,0.30972821,0.257251808,0.433019982
12,66,0.284019095,0.263657094,0.452323811
13,46,0.196852413,0.128849343,0.674298245
13,47,0.467191887,0.115205087,0.417603027
13,48,0.493497273,0.138784852,0.367717875
13,49,0.419067398,0.160546584,0.420386018
13,50,0.420062908,0.171135245,0.408801848
13,51,0.352939314,0.202154202,0.444906484
13,52,0.20348489,0.233839107,0.562676003
13,53,0.187241623,0.250617428,0.562140949
13,54,0.164882229,0.264152771,0.570965001
13,55,0.109257098,0.274774643,0.615968259
13,56,0.185197866,0.308097856,0.506704278
13,57,0.239173066,0.325274862,0.435552072
13,58,0.295557158,0.329831269,0.374611574
13,59,0.310672662,0.320403068,0.36892427
13,60,0.373315766,0.284399745,0.342284489
13,61,0.433967832,0.249528159,0.316504009
13,62,0.461306137,0.227102476,0.311591387
13,63,0.345482973,0.251875608,0.402641419
13,64,0.370313177,0.242074601,0.387612222
13,65,0.324050899,0.246629558,0.429319544
13,66,0.263851639,0.262155191,0.47399317
13,67,0.261773518,0.270648007,0.467578475
14,46,0.382161645,0.128740193,0.489098162
14,47,0.42955161,0.123786785,0.446661605
